"Year","Location","Bacteria","Date","Individual Sample Value","30 Day Rolling Geometric Mean Value","Individual Sample Value Exceedence","30 Day Geometric Mean Exceedence"
2019,"Kenai River Gull Rookery 1","Fecal Coliform",2019-07-23,4.5," 16.5","",""
2019,"Kenai River Gull Rookery 1","Fecal Coliform",2019-08-01,4," 10.9","",""
2019,"Kenai River Gull Rookery 1","Fecal Coliform",2019-08-06,65," 15.6","> 31",""
2019,"Kenai River Gull Rookery 1","Fecal Coliform",2019-08-20,12," 10.9","",""
2019,"Kenai River Gull Rookery 1","Fecal Coliform",2019-09-04,225," 56.0","> 31",""
2019,"Kenai River Gull Rookery 2","Fecal Coliform",2019-05-21,1,"   NA","",""
2019,"Kenai River Gull Rookery 2","Fecal Coliform",2019-05-29,10,"   NA","",""
2019,"Kenai River Gull Rookery 2","Fecal Coliform",2019-06-04,5,"   NA","",""
2019,"Kenai River Gull Rookery 2","Fecal Coliform",2019-06-11,4,"   NA","",""
2019,"Kenai River Gull Rookery 2","Fecal Coliform",2019-06-18,29,"   NA","",""
2019,"Kenai River Gull Rookery 2","Fecal Coliform",2019-06-25,25," 10.8","",""
2019,"Kenai River Gull Rookery 2","Fecal Coliform",2019-07-02,78," 16.2","> 31",""
2019,"Kenai River Gull Rookery 2","Fecal Coliform",2019-07-09,45," 25.2","> 31",""
2019,"Kenai River Gull Rookery 2","Fecal Coliform",2019-07-17,80," 45.9","> 31",""
2019,"Kenai River Gull Rookery 2","Fecal Coliform",2019-07-23,56," 52.3","> 31",""
2019,"Kenai River Gull Rookery 2","Fecal Coliform",2019-08-01,41," 53.6","> 31",""
2019,"Kenai River Gull Rookery 2","Fecal Coliform",2019-08-06,2," 27.8","",""
2019,"Kenai River Gull Rookery 2","Fecal Coliform",2019-08-20,74," 24.1","> 31",""
2019,"Kenai River Gull Rookery 2","Fecal Coliform",2019-09-04,2,"  6.7","",""
2019,"North Kenai Beach 4","Fecal Coliform",2019-05-21,1,"   NA","",""
2019,"North Kenai Beach 4","Fecal Coliform",2019-05-29,35,"   NA","> 31",""
2019,"North Kenai Beach 4","Fecal Coliform",2019-06-04,102,"   NA","> 31",""
2019,"North Kenai Beach 4","Fecal Coliform",2019-06-11,2,"   NA","",""
2019,"North Kenai Beach 4","Fecal Coliform",2019-06-18,41,"   NA","> 31",""
2019,"North Kenai Beach 4","Fecal Coliform",2019-06-25,50," 27.1","> 31",""
2019,"North Kenai Beach 4","Fecal Coliform",2019-07-02,57," 29.9","> 31",""
2019,"North Kenai Beach 4","Fecal Coliform",2019-07-09,7," 17.5","",""
2019,"North Kenai Beach 4","Fecal Coliform",2019-07-17,346," 49.0","> 31",""
2019,"North Kenai Beach 4","Fecal Coliform",2019-07-23,83," 56.4","> 31",""
2019,"North Kenai Beach 4","Fecal Coliform",2019-08-01,158," 75.1","> 31",""
2019,"North Kenai Beach 4","Fecal Coliform",2019-08-06,2," 36.4","",""
2019,"North Kenai Beach 4","Fecal Coliform",2019-08-20,39," 31.8","> 31",""
2019,"North Kenai Beach 4","Fecal Coliform",2019-09-04,2,"  5.4","",""
