datetime,enterococcus_mpn_100mL,site,air_temp_C,conductivity_mS_cm,pH,water_temp_C,tide_range_m,wind_velocity_kph,wind_direction_deg,wave_height_m
2011-08-10T21:15:00Z,20,North Kenai Beach,16.9,774,8.1,11.1,NA,NA,NA,NA
2011-08-14T20:15:00Z,63,North Kenai Beach,15,11276,7.86,12.24,NA,NA,NA,NA
2011-10-03T20:45:00Z,20,North Kenai Beach,3.3,39297,7.83,8.8,NA,NA,NA,NA
2012-06-25T06:30:00Z,120,North Kenai Beach,11.11111111111111,NA,NA,10.7,NA,NA,NA,NA
2012-06-27T08:09:00Z,20,North Kenai Beach,8.88888888888889,6238,7.73,10.6,NA,NA,NA,NA
2012-07-09T16:30:00Z,10,North Kenai Beach,11,280.5,NA,10.76,NA,NA,NA,NA
2012-07-09T16:35:00Z,10,North Kenai Beach,11,474.8,7.63,10.78,NA,NA,NA,NA
2012-07-10T07:25:00Z,10,North Kenai Beach,10.555555555555555,26000,7.42,10.7,NA,NA,NA,NA
2012-07-15T12:15:00Z,52,North Kenai Beach,12.222222222222221,1130,7.54,9.54,NA,NA,NA,NA
2012-07-15T12:30:00Z,41,North Kenai Beach,12.222222222222221,13223,7.73,11.02,NA,NA,NA,NA
2012-07-22T04:30:00Z,41,North Kenai Beach,12.777777777777777,37096,7.97,12.13,NA,NA,NA,NA
2012-07-25T06:10:00Z,41,North Kenai Beach,8.88888888888889,6400,7.8,9.36,NA,NA,NA,NA
2012-07-29T11:27:00Z,20,North Kenai Beach,16.666666666666668,8147,8.07,16.65,NA,NA,NA,NA
2012-07-29T11:35:00Z,10,North Kenai Beach,16.666666666666668,12039,8.07,14.64,NA,NA,NA,NA
2012-08-01T13:37:00Z,3800,North Kenai Beach,16.666666666666668,4847,7.84,12.99,NA,NA,NA,NA
2012-08-12T10:30:00Z,20,North Kenai Beach,15,675.9,8.04,12.26,NA,NA,NA,NA
2013-06-19T10:26:00Z,20,North Kenai Beach,15,1047,7.5,14.3,NA,NA,NA,NA
2013-06-30T08:01:00Z,31,North Kenai Beach,12,5930,7.91,10.7,NA,NA,NA,NA
2013-06-30T08:09:00Z,41,North Kenai Beach,12,28989,8.01,11.2,NA,NA,NA,NA
2013-07-07T10:05:00Z,41,North Kenai Beach,11.11111111111111,2567,7.88,9.3,NA,NA,NA,NA
2013-07-07T10:15:00Z,10,North Kenai Beach,11.11111111111111,3015,7.88,9.3,NA,NA,NA,NA
2013-07-09T04:48:00Z,10,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2013-07-10T11:45:00Z,20,North Kenai Beach,15,2059,7.67,10.1,NA,NA,NA,NA
2013-07-10T11:46:00Z,10,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2013-07-14T06:57:00Z,31,North Kenai Beach,12,34330,8.15,12.8,NA,NA,NA,NA
2013-07-14T07:03:00Z,51,North Kenai Beach,12,34169,NA,12.8,NA,NA,NA,NA
2013-07-21T04:30:00Z,4100,North Kenai Beach,8.88888888888889,4516,8.03,13.4,NA,NA,NA,NA
2013-07-21T04:45:00Z,4400,North Kenai Beach,8.88888888888889,10392,8.01,13.5,NA,NA,NA,NA
2013-07-24T08:10:00Z,130,North Kenai Beach,14,23786,8.15,13.7,NA,NA,NA,NA
2013-07-24T08:11:00Z,160,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2013-07-28T08:40:00Z,31,North Kenai Beach,17.6,36065,8.18,14.7,NA,NA,NA,NA
2013-08-04T10:55:00Z,75,North Kenai Beach,14,821.6,8.06,13.5,NA,NA,NA,NA
2013-08-04T11:05:00Z,31,North Kenai Beach,14,343,8.02,13.3,NA,NA,NA,NA
2013-08-06T11:10:00Z,75,North Kenai Beach,NA,1406,8.06,13,NA,NA,NA,NA
2013-08-11T05:37:00Z,20,North Kenai Beach,9,38143,8.18,12.7,NA,NA,NA,NA
2014-07-07T09:15:00Z,52,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-07T10:40:00Z,20,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-09T03:35:00Z,160,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-09T03:43:00Z,140,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-13T04:50:00Z,20,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-17T09:07:00Z,41,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-20T10:56:00Z,41,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-20T11:07:00Z,20,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-23T04:27:00Z,120,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-23T13:55:00Z,10,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-23T14:05:00Z,20,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-27T06:38:00Z,430,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-29T07:27:00Z,150,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2014-07-29T07:30:00Z,52,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-06T11:27:00Z,41,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2014-08-06T11:33:00Z,10,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-06-14T08:48:00Z,1100,North Kenai Beach,11.11111111111111,NA,NA,11.8,NA,NA,NA,NA
2018-06-29T09:28:00Z,6,North Kenai Beach,11.11111111111111,NA,NA,10.2,2.7432000000000003,6.437376,NA,NA
2018-07-03T08:23:00Z,11,North Kenai Beach,15,NA,NA,11.8,5.486400000000001,11.265408,NA,NA
2018-07-13T07:46:00Z,21,North Kenai Beach,9.444444444444445,NA,NA,11.9,5.1816,8.04672,NA,NA
2018-07-18T07:55:00Z,5,North Kenai Beach,8.88888888888889,NA,NA,NA,4.8768,3.218688,NA,NA
2018-07-25T09:03:00Z,34,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-25T10:05:00Z,69,North Kenai Beach,NA,NA,NA,12.3,0.45720000000000005,22.530816,NA,NA
2018-07-25T11:15:00Z,84,North Kenai Beach,15,NA,NA,12.5,0.9144000000000001,22.530816,NA,NA
2018-07-25T12:01:00Z,59,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-25T13:01:00Z,140,North Kenai Beach,15.555555555555555,NA,NA,12.8,2.4384,24.14016,NA,NA
2018-07-25T14:00:00Z,55,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-25T15:00:00Z,27,North Kenai Beach,15.555555555555555,NA,NA,13.5,3.3528000000000002,24.14016,NA,NA
2018-07-25T16:00:00Z,12,North Kenai Beach,15.555555555555555,NA,NA,13.5,4.2672,12.874752,NA,NA
2018-07-25T17:00:00Z,238,North Kenai Beach,15.555555555555555,NA,NA,13.6,4.8768,7.140000000000001,NA,NA
2018-07-25T18:00:00Z,66,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-25T19:00:00Z,157,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-25T20:00:00Z,109,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-25T21:00:00Z,86,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-25T22:00:00Z,153,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-25T23:00:00Z,36,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-26T00:00:00Z,122,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-26T01:00:00Z,108,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-26T02:00:00Z,22,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-26T03:00:00Z,9,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-26T04:00:00Z,10,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-26T05:00:00Z,187,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-26T06:00:00Z,78,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-07-26T07:00:00Z,128,North Kenai Beach,NA,NA,NA,NA,NA,NA,NA,NA
2018-08-02T08:45:00Z,75,North Kenai Beach,11.666666666666666,NA,NA,13.1,5.1816,0,NA,NA
2018-08-10T06:05:00Z,73,North Kenai Beach,5,NA,NA,13.3,5.486400000000001,11.265408,NA,NA
2018-08-15T09:00:00Z,61,North Kenai Beach,8.333333333333334,NA,NA,12.1,5.486400000000001,0,NA,NA
2018-08-24T09:00:00Z,44,North Kenai Beach,13.333333333333332,NA,NA,11,1.524,16.09344,NA,NA
2018-08-29T09:35:00Z,29,North Kenai Beach,7.222222222222222,NA,NA,NA,3.6576000000000004,4.828032,NA,NA
2018-09-07T08:05:00Z,21,North Kenai Beach,11.11111111111111,NA,NA,12,1.524,4.828032,NA,NA
2019-05-21T06:46:00Z,1,North Kenai Beach,6.666666666666666,NA,NA,8.4,5.638800000000001,19.312128,180,NA
