datetime,fecal_coliform_cfu_100mL,site,air_temp_C,conductivity_mS_cm,pH,water_temp_C,tide_range_m,wind_velocity_kph,wind_direction_deg,wave_height_m
2020-06-04T05:46:00Z,9.3,Kenai Gull Rookery 2,7,NA,NA,9.1,1.7861280000000002,20.374295040000003,180,NA
2020-06-09T07:50:00Z,12,Kenai Gull Rookery 2,8.3,NA,NA,10.2,1.4721840000000002,9.253728,220,NA
2020-06-18T05:50:00Z,31,Kenai Gull Rookery 2,7,NA,NA,12.4,2.185416,5.552236800000001,30,NA
2020-06-23T08:10:00Z,28,Kenai Gull Rookery 2,11,NA,NA,12.1,2.7371040000000004,9.253728,170,NA
2020-06-29T10:45:00Z,3.3,Kenai Gull Rookery 2,14,NA,NA,12.6,1.72212,33.32951424,190,NA
2020-07-07T07:00:00Z,50,Kenai Gull Rookery 2,12.18,NA,NA,13.4,2.7675840000000003,0,NA,NA
2020-07-13T10:28:00Z,15,Kenai Gull Rookery 2,16,NA,NA,13.2,NA,14.822058240000002,360,NA
2020-07-20T06:30:00Z,40,Kenai Gull Rookery 2,13,NA,NA,13.2,2.688336,12.971312640000003,170,NA
2020-07-27T08:55:00Z,10,Kenai Gull Rookery 2,15,NA,NA,14.2,1.901952,9.253728,180,NA
2020-08-05T08:15:00Z,29,Kenai Gull Rookery 2,14,NA,NA,14.5,2.700528,11.120567040000001,210,NA
2020-08-11T06:58:00Z,19,Kenai Gull Rookery 2,12,NA,NA,12.3,1.4599920000000002,0,NA,NA
2020-08-18T06:46:00Z,27,Kenai Gull Rookery 2,12,NA,NA,14.5,2.7371040000000004,16.67280384,190,NA
