"Location","Year","Bacteria","Date","30 Day Geometric Mean Value","Individual Sample Value","30 Day Geometric Mean Exceedence","10% of Individual Samples in Prior 30 Days Exceedence"
"Kenai River Gull Rookery 2",2020,"Enterococci",2020-06-23,"",14,"",""
"Kenai River Gull Rookery 2",2020,"Enterococci",2020-06-29,"  2.8",0.5,"",""
"Kenai River Gull Rookery 2",2020,"Enterococci",2020-07-07,"  4.0",22,"",""
"Kenai River Gull Rookery 2",2020,"Enterococci",2020-07-13,"  4.0",0.5,"",""
"Kenai River Gull Rookery 2",2020,"Enterococci",2020-07-20,"  4.5",24,"",""
"Kenai River Gull Rookery 2",2020,"Enterococci",2020-07-27,"  3.3",3,"",""
"Kenai River Gull Rookery 2",2020,"Enterococci",2020-08-05,"  5.8",8,"",""
"Kenai River Gull Rookery 2",2020,"Enterococci",2020-08-11,"  3.6",2,"",""
"Kenai River Gull Rookery 2",2020,"Enterococci",2020-08-18,"  8.2",33,"",""
"Kenai River Gull Rookery 2",2019,"Fecal Coliform",2019-05-21,"",1,"",""
"Kenai River Gull Rookery 2",2019,"Fecal Coliform",2019-05-29,"",10,"",""
"Kenai River Gull Rookery 2",2019,"Fecal Coliform",2019-06-04,"",5,"",""
"Kenai River Gull Rookery 2",2019,"Fecal Coliform",2019-06-11,"",4,"",""
"Kenai River Gull Rookery 2",2019,"Fecal Coliform",2019-06-18,"",29,"",""
"Kenai River Gull Rookery 2",2019,"Fecal Coliform",2019-06-25," 10.8",25,"",""
"Kenai River Gull Rookery 2",2019,"Fecal Coliform",2019-07-02," 16.2",78,"> 14","> 31"
"Kenai River Gull Rookery 2",2019,"Fecal Coliform",2019-07-09," 25.2",45,"> 14","> 31"
"Kenai River Gull Rookery 2",2019,"Fecal Coliform",2019-07-17," 45.9",80,"> 14","> 31"
"Kenai River Gull Rookery 2",2019,"Fecal Coliform",2019-07-23," 52.3",56,"> 14","> 31"
"Kenai River Gull Rookery 2",2019,"Fecal Coliform",2019-08-01," 53.6",41,"> 14","> 31"
"Kenai River Gull Rookery 2",2019,"Fecal Coliform",2019-08-06," 27.8",2,"> 14","> 31"
"Kenai River Gull Rookery 2",2019,"Fecal Coliform",2019-08-20," 24.1",74,"> 14","> 31"
