"Year","Location","Bacteria","Date","Individual Sample Value","30 Day Rolling Geometric Mean Value","Individual Sample Value Exceedance","30 Day Geometric Mean Exceedance"
2020,"Kenai River Gull Rookery 1","Fecal Coliform",2020-08-05,57," 65.3","> 31",""
2020,"Kenai River Gull Rookery 1","Fecal Coliform",2020-08-11,3," 33.5","",""
2020,"Kenai River Gull Rookery 1","Fecal Coliform",2020-08-18,76," 45.2","> 31",""
2020,"Kenai River Gull Rookery 2","Fecal Coliform",2020-05-26,0.5,"   NA","",""
2020,"Kenai River Gull Rookery 2","Fecal Coliform",2020-06-04,9.3,"   NA","",""
2020,"Kenai River Gull Rookery 2","Fecal Coliform",2020-06-09,12,"   NA","",""
2020,"Kenai River Gull Rookery 2","Fecal Coliform",2020-06-18,31,"   NA","> 31",""
2020,"Kenai River Gull Rookery 2","Fecal Coliform",2020-06-23,28,"   NA","",""
2020,"Kenai River Gull Rookery 2","Fecal Coliform",2020-06-29,3.3," 12.6","",""
2020,"Kenai River Gull Rookery 2","Fecal Coliform",2020-07-07,50," 17.7","> 31",""
2020,"Kenai River Gull Rookery 2","Fecal Coliform",2020-07-13,15," 18.5","",""
2020,"Kenai River Gull Rookery 2","Fecal Coliform",2020-07-20,40," 19.4","> 31",""
2020,"Kenai River Gull Rookery 2","Fecal Coliform",2020-07-27,10," 15.8","",""
2020,"Kenai River Gull Rookery 2","Fecal Coliform",2020-08-05,29," 24.4","",""
2020,"Kenai River Gull Rookery 2","Fecal Coliform",2020-08-11,19," 20.1","",""
2020,"Kenai River Gull Rookery 2","Fecal Coliform",2020-08-18,27," 22.6","",""
2020,"North Kenai Beach 4","Fecal Coliform",2020-05-26,2,"   NA","",""
2020,"North Kenai Beach 4","Fecal Coliform",2020-06-04,36,"   NA","> 31",""
2020,"North Kenai Beach 4","Fecal Coliform",2020-06-09,7.7,"   NA","",""
2020,"North Kenai Beach 4","Fecal Coliform",2020-06-18,54,"   NA","> 31",""
